Courses	Credits	Corequisite	Prerequisite		Course Description
EGR101	2	null	null	null	This course is an introduction to the interdisciplinary aspects of the engineering of aerospace systems. It is a project-based course, demonstrating how the engineering profession is a multi-disciplinary field. Students are involved in an array of conceptual exercises, simple design activities, and projects dealing with engineering in aerospace-related areas.
EGR115	3	null	null	null	This is an introductory course in programming and computing for scientists and engineers. The course introduces students to the following aspects of software engineering: specification, requirements, design, code, and test. This course uses a problem-solving approach for developing algorithms. The following topics will be included: data types and related operations, looping, decision, input/output, functions, arrays, files, and plotting.
COM122	3	null	null	null	This course focuses on the principles of using writing for thinking, as well as a tool for expressing ideas. It addresses the composing process, research and documentation, and rhetorical strategies for various audiences and purposes. Students develop their communicative, evaluative, critical thinking, and research writing abilities.
UNIV101	1	null	null	null	A course in which students assess and develop the personal, interpersonal, intellectual, and social skills necessary to succeed in college. Time management, study skills, goal clarification, career information, and college resources are included. This course is available to freshmen only.
MA241	4	null	null	null	Limits and continuity; differentiation and integration of algebraic and elementary transcendental functions; applications of first and second derivatives.
PS150	3	null	null	null	This course explores vectors and scalar quantities; kinematics; Newton's Law of Motion; work; work-energy; conversion of energy; conversion of momentum; center of mass and its motion, torque, equilibrium; and orbital motion.
CS225	4	null	EGR115	null	This course emphasizes program design, style, data abstraction, information hiding, and testing; advanced programming features; and introduction to object-oriented concepts, basics of algorithm analysis, exception handling, string processing, recursion, pointers, and simple data structures. The course has a closed laboratory that includes activities dealing with the computing environment, the software development process, and programming exercises.
HU14X	3	null	COM122	null	HU 14X course
SS1XX	3	null	null	null	SS 1XX course
MA242	4	null	MA241	null	Differentiation and integration of transcendental functions; special integration techniques; applications of the definite integral; numerical methods; infinite series.
PS160	3	null	PS150	null	This is a calculus-based study of the fundamental principles of classical mechanics. Topics include rotational motion, simple harmonic motion, waves, fluid, heat, kinetic energy, and thermodynamics.
CS222	3	null	null	null	An introduction to the fundamental algebraic, logical, and combinatorial concepts of mathematics that provide a foundation for the study of computer science. 
COM219	3	null	COM122	null	A continuation of the study of communication and communication theory with emphasis on overcoming communication apprehension, developing listening skills, mastering oral performance, and writing about communication. Individual sections may focus on public speaking, group discussion, oral interpretation, or interpersonal communication. Section emphasis varies by instructor and is listed in the Schedule of Courses.
CEC220	3	null	null	null	Introduction to logic design and interfacing digital circuits. Boolean algebra, combinatorial logic circuits, digital multiplexers, circuit minimization techniques, flip-flop storage elements, shift registers, counting devices, and sequential logic circuits.
CEC222	1	CEC220	null	null	Laboratory experiments in the measurement and verification of digital circuits. Discrete and integrated logic circuit design analysis and measurements.
